
2024/01/03 (15:35:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/03 (15:35:45) | DEBUG: Shared::init() : Initialized.

2024/01/03 (15:44:58) | ===> btop++ v.1.3.0
2024/01/03 (15:44:58) | INFO: Logger set to DEBUG
2024/01/03 (15:44:58) | DEBUG: Using locale en_US.UTF-8
2024/01/03 (15:44:58) | INFO: Running on /dev/pts/0
2024/01/03 (15:44:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/03 (15:44:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/03 (15:44:58) | DEBUG: Shared::init() : Initialized.

2024/01/04 (14:54:11) | ===> btop++ v.1.3.0
2024/01/04 (14:54:11) | INFO: Logger set to DEBUG
2024/01/04 (14:54:11) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (14:54:11) | INFO: Running on /dev/pts/1
2024/01/04 (14:54:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/04 (14:54:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/04 (14:54:11) | DEBUG: Shared::init() : Initialized.

2024/01/05 (08:32:20) | ===> btop++ v.1.3.0
2024/01/05 (08:32:20) | INFO: Logger set to DEBUG
2024/01/05 (08:32:20) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (08:32:20) | INFO: Running on /dev/pts/3
2024/01/05 (08:32:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/05 (08:32:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/05 (08:32:21) | DEBUG: Shared::init() : Initialized.

2024/01/05 (10:34:39) | ===> btop++ v.1.3.0
2024/01/05 (10:34:39) | INFO: Logger set to DEBUG
2024/01/05 (10:34:39) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (10:34:39) | INFO: Running on /dev/pts/4
2024/01/05 (10:34:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/05 (10:34:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/05 (10:34:40) | DEBUG: Shared::init() : Initialized.

2024/01/05 (10:39:32) | ===> btop++ v.1.3.0
2024/01/05 (10:39:32) | INFO: Logger set to DEBUG
2024/01/05 (10:39:32) | DEBUG: Using locale en_US.UTF-8
